txid,mtid,merch_h3_13,membccid,card_h3_13,trans_date,trans_amount,norm_spend,trans_distance,delivery_date,ref_date
73173fba45a516fab792750e9361164d,163a970bf6d4fc895a8203e6010fde67,8d2ab2c368d287f,fa8ed6ffea5315357c3f4002dd840eaa,8d260d8000ce7bf,2025-10-01,9.380000114440918,128.92,545.66105809707665,2025-10-06,2025-10-03
d714813644fa4ddec623de02bb94d367,163a970bf6d4fc895a8203e6010fde67,8d2ab2c368d287f,13ff2c23a2e21253e417bb22ac7136d0,8d27598447966bf,2025-10-01,8.8500003814697266,81.87,240.13322745068118,2025-10-06,2025-10-03
b919076555e3dd2d0d6393acf26999f1,163a970bf6d4fc895a8203e6010fde67,8d2ab2c368d287f,2d019b98c43c4def4d4489b67065313b,8d2aae94cc650bf,2025-10-01,4.6999998092651367,39.56,377.03286783821687,2025-10-06,2025-10-03
6f59be9c5ed64ae86b7910843539495c,163a970bf6d4fc895a8203e6010fde67,8d2ab2c368d287f,2e0bc90ad2190fc5f8017926addb73fe,8d2af60c123243f,2025-10-01,9.8500003814697266,232.93,520.95857978707693,2025-10-06,2025-10-03
453f91335533b860303373dcdaf03300,163a970bf6d4fc895a8203e6010fde67,8d2ab2c368d287f,329f06e62866023efea1517538b61365,8d2aae9922928bf,2025-10-01,6.53000020980835,46.33,350.59096957633761,2025-10-06,2025-10-03
d4ed8d258001ed3285149376d605dbc8,163a970bf6d4fc895a8203e6010fde67,8d2ab2c368d287f,44c6ede26ce9f05916c00011fcdf9286,8d2af62aacccdbf,2025-10-01,8.0799999237060547,202.82,534.74934068546588,2025-10-06,2025-10-03
ca92d56c35f38c254c58068267cc45cd,163a970bf6d4fc895a8203e6010fde67,8d2ab2c368d287f,44c6ede26ce9f05916c00011fcdf9286,8d2af62aacccdbf,2025-10-01,16.690000534057617,418.94,534.74934068546588,2025-10-06,2025-10-03
84e3a04f07cbe5e9d4d59e86dc2d9c33,163a970bf6d4fc895a8203e6010fde67,8d2ab2c368d287f,5310428cc48338ed4c25d20eb7b29ee8,8d464b92b484d3f,2025-10-01,0.949999988079071,17.25,4485.6824949391457,2025-10-06,2025-10-03
48419e21356b60124c248fefe4e15113,163a970bf6d4fc895a8203e6010fde67,8d2ab2c368d287f,5c56709c9af2e03fdd17c1485c6520cc,8d2ab2c19b2cd3f,2025-10-01,2.2999999523162842,190.19,9.344102652766491,2025-10-06,2025-10-03
ac1e11977bd3d0cf78704fdef0a5304c,163a970bf6d4fc895a8203e6010fde67,8d2ab2c368d287f,5c56709c9af2e03fdd17c1485c6520cc,8d2ab2c19b2cd3f,2025-10-01,4.809999942779541,397.75,9.344102652766491,2025-10-06,2025-10-03
