geography_level,month_date,attraction_cost,transaction_count_final,unique_visitors,txn_before_cap,txn_after_cap,txn_capped,pct_txn_capped,unique_cardholders_total,cardholders_affected_by_cap,pct_cardholders_affected_any_day,avg_txn_per_cardholder_per_day,frequent_high_volume_visitors,pct_frequent_high_volume_visitors,txn_before_outlier_removal,txn_removed_as_outliers,pct_txn_removed_as_outliers,data_quality_flag,period_start,period_end,max_daily_cap,calculation_timestamp
US,2024-01-01,23.159999847412109,418743,208463,459957,450147,9810,2.13,216716,610,0.28,2.32,105,0.05,450147,31404,6.98,SINGLE_MONTH,2024-01-01,2024-12-31,10,2025-12-01 03:42:33.452980 UTC
US,2024-02-01,24.149999618530273,434308,220010,476520,466941,9579,2.01,229464,577,0.25,2.29,82,0.04,466941,32633,6.99,SINGLE_MONTH,2024-01-01,2024-12-31,10,2025-12-01 03:42:33.452980 UTC
US,2024-03-01,25.739999771118164,559321,282052,611950,601533,10417,1.7,294394,693,0.24,2.2,104,0.04,601533,42212,7.02,SINGLE_MONTH,2024-01-01,2024-12-31,10,2025-12-01 03:42:33.452980 UTC
US,2024-04-01,24.979999542236328,497668,252988,544868,534971,9897,1.82,263852,632,0.24,2.26,95,0.04,534971,37303,6.97,SINGLE_MONTH,2024-01-01,2024-12-31,10,2025-12-01 03:42:33.452980 UTC
US,2024-05-01,25.340000152587891,540389,275007,591725,580920,10805,1.83,287124,678,0.24,2.25,112,0.04,580920,40531,6.98,SINGLE_MONTH,2024-01-01,2024-12-31,10,2025-12-01 03:42:33.452980 UTC
US,2024-06-01,26.350000381469727,644148,327798,702634,692555,10079,1.43,342234,692,0.2,2.18,109,0.03,692555,48407,6.99,SINGLE_MONTH,2024-01-01,2024-12-31,10,2025-12-01 03:42:33.452980 UTC
US,2024-07-01,26.219999313354492,744291,375327,810079,800454,9625,1.19,390728,756,0.19,2.11,131,0.03,800454,56163,7.02,SINGLE_MONTH,2024-01-01,2024-12-31,10,2025-12-01 03:42:33.452980 UTC
US,2024-08-01,25.909999847412109,697817,363530,759944,750366,9578,1.26,378633,737,0.19,2.1,129,0.03,750366,52549,7.0,SINGLE_MONTH,2024-01-01,2024-12-31,10,2025-12-01 03:42:33.452980 UTC
US,2024-09-01,23.729999542236328,579699,299236,632736,623251,9485,1.5,312361,737,0.24,2.15,123,0.04,623251,43552,6.99,SINGLE_MONTH,2024-01-01,2024-12-31,10,2025-12-01 03:42:33.452980 UTC
US,2024-10-01,23.549999237060547,558859,276694,611787,600754,11033,1.8,289227,684,0.24,2.25,120,0.04,600754,41895,6.97,SINGLE_MONTH,2024-01-01,2024-12-31,10,2025-12-01 03:42:33.452980 UTC
US,2024-11-01,22.950000762939453,493899,242157,540850,531051,9799,1.81,252685,629,0.25,2.27,111,0.04,531051,37152,7.0,SINGLE_MONTH,2024-01-01,2024-12-31,10,2025-12-01 03:42:33.452980 UTC
US,2024-12-01,24.159999847412109,457340,223378,500043,491553,8490,1.7,233449,563,0.24,2.17,87,0.04,491553,34213,6.96,SINGLE_MONTH,2024-01-01,2024-12-31,10,2025-12-01 03:42:33.452980 UTC
