geography_level,month_date,attraction_cost,transaction_count_final,unique_visitors,txn_before_cap,txn_after_cap,txn_capped,pct_txn_capped,unique_cardholders_total,cardholders_affected_by_cap,pct_cardholders_affected_any_day,avg_txn_per_cardholder_per_day,frequent_high_volume_visitors,pct_frequent_high_volume_visitors,txn_before_outlier_removal,txn_removed_as_outliers,pct_txn_removed_as_outliers,data_quality_flag,period_start,period_end,max_daily_cap,calculation_timestamp
US,2025-01-01,22.239999771118164,390380,181020,427745,419806,7939,1.86,189541,534,0.28,2.25,82,0.04,419806,29426,7.01,SINGLE_MONTH,2025-01-01,2025-10-31,10,2025-12-01 03:41:32.541813 UTC
US,2025-02-01,23.260000228881836,364953,177029,398127,392283,5844,1.47,185884,443,0.24,2.13,56,0.03,392283,27330,6.97,SINGLE_MONTH,2025-01-01,2025-10-31,10,2025-12-01 03:41:32.541813 UTC
US,2025-03-01,25.559999465942383,427387,207462,466390,459448,6942,1.49,217453,445,0.2,2.15,71,0.03,459448,32061,6.98,SINGLE_MONTH,2025-01-01,2025-10-31,10,2025-12-01 03:41:32.541813 UTC
US,2025-04-01,24.950000762939453,397441,196262,434034,427499,6535,1.51,205665,419,0.2,2.28,74,0.04,427499,30058,7.03,SINGLE_MONTH,2025-01-01,2025-10-31,10,2025-12-01 03:41:32.541813 UTC
US,2025-05-01,25.030000686645508,408583,204317,445397,439318,6079,1.36,213501,436,0.2,2.1,57,0.03,439318,30735,7.0,SINGLE_MONTH,2025-01-01,2025-10-31,10,2025-12-01 03:41:32.541813 UTC
US,2025-06-01,25.399999618530273,568288,277483,618980,610908,8072,1.3,289847,649,0.22,2.14,106,0.04,610908,42620,6.98,SINGLE_MONTH,2025-01-01,2025-10-31,10,2025-12-01 03:41:32.541813 UTC
US,2025-07-01,25.8700008392334,722671,343104,789233,776955,12278,1.56,358323,857,0.24,2.24,143,0.04,776955,54284,6.99,SINGLE_MONTH,2025-01-01,2025-10-31,10,2025-12-01 03:41:32.541813 UTC
US,2025-08-01,25.430000305175781,694131,336613,759252,746401,12851,1.69,351666,872,0.25,2.28,136,0.04,746401,52270,7.0,SINGLE_MONTH,2025-01-01,2025-10-31,10,2025-12-01 03:41:32.541813 UTC
US,2025-09-01,23.350000381469727,595834,271570,654509,640805,13704,2.09,285413,901,0.32,2.36,140,0.05,640805,44971,7.02,SINGLE_MONTH,2025-01-01,2025-10-31,10,2025-12-01 03:41:32.541813 UTC
US,2025-10-01,22.790000915527344,625964,261040,690798,673062,17736,2.57,274466,1057,0.39,2.56,143,0.05,673062,47098,7.0,SINGLE_MONTH,2025-01-01,2025-10-31,10,2025-12-01 03:41:32.541813 UTC
