merch_state,month_date,breakfast_lunch_cost,dinner_cost,median_meal_cost,transaction_count,unique_visitors,data_quality_flag,period_start,period_end,calculation_timestamp
TX,2024-01-01,19.889999389648438,37.840000152587891,27.399999618530273,22472853,64264,SINGLE_MONTH,2024-01-01,2024-12-31,2025-11-18 17:41:38.967184 UTC
CA,2024-01-01,19.690000534057617,40.380001068115234,27.959999084472656,20567117,66376,SINGLE_MONTH,2024-01-01,2024-12-31,2025-11-18 17:41:38.967184 UTC
FL,2024-01-01,24.680000305175781,47.340000152587891,34.209999084472656,19602241,57034,SINGLE_MONTH,2024-01-01,2024-12-31,2025-11-18 17:41:38.967184 UTC
TN,2024-01-01,22.549999237060547,40.650001525878906,31.350000381469727,10254600,29074,SINGLE_MONTH,2024-01-01,2024-12-31,2025-11-18 17:41:38.967184 UTC
VA,2024-01-01,18.389999389648438,35.310001373291016,25.329999923706055,9180784,20549,SINGLE_MONTH,2024-01-01,2024-12-31,2025-11-18 17:41:38.967184 UTC
AZ,2024-01-01,21.0,40.130001068115234,29.3799991607666,9019529,24564,SINGLE_MONTH,2024-01-01,2024-12-31,2025-11-18 17:41:38.967184 UTC
CO,2024-01-01,18.639999389648438,35.979999542236328,25.75,8908568,27312,SINGLE_MONTH,2024-01-01,2024-12-31,2025-11-18 17:41:38.967184 UTC
GA,2024-01-01,17.510000228881836,33.369998931884766,24.049999237060547,8519134,28924,SINGLE_MONTH,2024-01-01,2024-12-31,2025-11-18 17:41:38.967184 UTC
NV,2024-01-01,24.100000381469727,47.389999389648438,33.860000610351562,8420525,21068,SINGLE_MONTH,2024-01-01,2024-12-31,2025-11-18 17:41:38.967184 UTC
OK,2024-01-01,14.569999694824219,28.950000762939453,20.190000534057617,7749776,20092,SINGLE_MONTH,2024-01-01,2024-12-31,2025-11-18 17:41:38.967184 UTC
LA,2024-01-01,21.209999084472656,40.409999847412109,29.700000762939453,7177145,20229,SINGLE_MONTH,2024-01-01,2024-12-31,2025-11-18 17:41:38.967184 UTC
IL,2024-01-01,17.170000076293945,34.279998779296875,24.020000457763672,6860311,27437,SINGLE_MONTH,2024-01-01,2024-12-31,2025-11-18 17:41:38.967184 UTC
WI,2024-01-01,17.139999389648438,34.080001831054688,24.299999237060547,6221817,20990,SINGLE_MONTH,2024-01-01,2024-12-31,2025-11-18 17:41:38.967184 UTC
AK,2024-01-01,22.1299991607666,42.810001373291016,31.149999618530273,6071011,13172,SINGLE_MONTH,2024-01-01,2024-12-31,2025-11-18 17:41:38.967184 UTC
NC,2024-01-01,19.969999313354492,37.430000305175781,27.350000381469727,5977949,17952,SINGLE_MONTH,2024-01-01,2024-12-31,2025-11-18 17:41:38.967184 UTC
MS,2024-01-01,18.100000381469727,34.220001220703125,24.950000762939453,5568335,14155,SINGLE_MONTH,2024-01-01,2024-12-31,2025-11-18 17:41:38.967184 UTC
PA,2024-01-01,16.520000457763672,32.169998168945312,22.959999084472656,5498757,20285,SINGLE_MONTH,2024-01-01,2024-12-31,2025-11-18 17:41:38.967184 UTC
KS,2024-01-01,17.200000762939453,32.930000305175781,23.540000915527344,5489435,16064,SINGLE_MONTH,2024-01-01,2024-12-31,2025-11-18 17:41:38.967184 UTC
HI,2024-01-01,21.329999923706055,42.810001373291016,30.069999694824219,5328408,12666,SINGLE_MONTH,2024-01-01,2024-12-31,2025-11-18 17:41:38.967184 UTC
NM,2024-01-01,21.850000381469727,40.380001068115234,30.290000915527344,4462954,12866,SINGLE_MONTH,2024-01-01,2024-12-31,2025-11-18 17:41:38.967184 UTC
NY,2024-01-01,16.510000228881836,34.529998779296875,23.6200008392334,4423725,16711,SINGLE_MONTH,2024-01-01,2024-12-31,2025-11-18 17:41:38.967184 UTC
MN,2024-01-01,18.969999313354492,37.569999694824219,26.969999313354492,4340912,15245,SINGLE_MONTH,2024-01-01,2024-12-31,2025-11-18 17:41:38.967184 UTC
WA,2024-01-01,19.299999237060547,37.020000457763672,26.260000228881836,4286197,13423,SINGLE_MONTH,2024-01-01,2024-12-31,2025-11-18 17:41:38.967184 UTC
KY,2024-01-01,19.399999618530273,36.360000610351562,26.639999389648438,4266696,14015,SINGLE_MONTH,2024-01-01,2024-12-31,2025-11-18 17:41:38.967184 UTC
MO,2024-01-01,18.25,35.0,25.190000534057617,4127697,14593,SINGLE_MONTH,2024-01-01,2024-12-31,2025-11-18 17:41:38.967184 UTC
IN,2024-01-01,17.329999923706055,32.830001831054688,23.930000305175781,3742448,11825,SINGLE_MONTH,2024-01-01,2024-12-31,2025-11-18 17:41:38.967184 UTC
MI,2024-01-01,17.5,33.830001831054688,24.670000076293945,3651981,11955,SINGLE_MONTH,2024-01-01,2024-12-31,2025-11-18 17:41:38.967184 UTC
OH,2024-01-01,19.760000228881836,36.029998779296875,26.719999313354492,3637271,16460,SINGLE_MONTH,2024-01-01,2024-12-31,2025-11-18 17:41:38.967184 UTC
AL,2024-01-01,18.520000457763672,35.479999542236328,25.950000762939453,3435116,10555,SINGLE_MONTH,2024-01-01,2024-12-31,2025-11-18 17:41:38.967184 UTC
AR,2024-01-01,19.489999771118164,37.049999237060547,27.149999618530273,3403173,10244,SINGLE_MONTH,2024-01-01,2024-12-31,2025-11-18 17:41:38.967184 UTC
SC,2024-01-01,19.3799991607666,37.220001220703125,27.209999084472656,3312838,10049,SINGLE_MONTH,2024-01-01,2024-12-31,2025-11-18 17:41:38.967184 UTC
UT,2024-01-01,15.779999732971191,30.079999923706055,21.639999389648438,3181302,14633,SINGLE_MONTH,2024-01-01,2024-12-31,2025-11-18 17:41:38.967184 UTC
IA,2024-01-01,14.590000152587891,28.389999389648438,19.909999847412109,2797233,8769,SINGLE_MONTH,2024-01-01,2024-12-31,2025-11-18 17:41:38.967184 UTC
WV,2024-01-01,15.960000038146973,31.340000152587891,22.350000381469727,2661290,7148,SINGLE_MONTH,2024-01-01,2024-12-31,2025-11-18 17:41:38.967184 UTC
OR,2024-01-01,17.799999237060547,34.560001373291016,24.6299991607666,2088230,7168,SINGLE_MONTH,2024-01-01,2024-12-31,2025-11-18 17:41:38.967184 UTC
MA,2024-01-01,16.600000381469727,34.319999694824219,23.25,1964958,6927,SINGLE_MONTH,2024-01-01,2024-12-31,2025-11-18 17:41:38.967184 UTC
SD,2024-01-01,18.479999542236328,37.090000152587891,26.420000076293945,1946076,5945,SINGLE_MONTH,2024-01-01,2024-12-31,2025-11-18 17:41:38.967184 UTC
MD,2024-01-01,20.209999084472656,39.169998168945312,28.270000457763672,1854544,7377,SINGLE_MONTH,2024-01-01,2024-12-31,2025-11-18 17:41:38.967184 UTC
ID,2024-01-01,17.989999771118164,35.799999237060547,25.75,1762541,4955,SINGLE_MONTH,2024-01-01,2024-12-31,2025-11-18 17:41:38.967184 UTC
MT,2024-01-01,20.430000305175781,39.799999237060547,28.8700008392334,1404848,4030,SINGLE_MONTH,2024-01-01,2024-12-31,2025-11-18 17:41:38.967184 UTC
