merch_state,month_date,retail_cost,transaction_count,unique_visitors,data_quality_flag,period_start,period_end,calculation_timestamp
CA,2025-01-01,27.020000457763672,131532824,276512,SINGLE_MONTH,2025-01-01,2025-10-31,2025-11-18 17:43:44.155968 UTC
OH,2025-01-01,38.470001220703125,30093992,97905,SINGLE_MONTH,2025-01-01,2025-10-31,2025-11-18 17:43:44.155968 UTC
NY,2025-01-01,36.7400016784668,25365894,111632,SINGLE_MONTH,2025-01-01,2025-10-31,2025-11-18 17:43:44.155968 UTC
FL,2025-01-01,40.150001525878906,14821396,65442,SINGLE_MONTH,2025-01-01,2025-10-31,2025-11-18 17:43:44.155968 UTC
TX,2025-01-01,40.540000915527344,12401134,54656,SINGLE_MONTH,2025-01-01,2025-10-31,2025-11-18 17:43:44.155968 UTC
DE,2025-01-01,30.780000686645508,11529265,106793,SINGLE_MONTH,2025-01-01,2025-10-31,2025-11-18 17:43:44.155968 UTC
MN,2025-01-01,46.889999389648438,6695077,26730,SINGLE_MONTH,2025-01-01,2025-10-31,2025-11-18 17:43:44.155968 UTC
PA,2025-01-01,51.430000305175781,6445248,27538,SINGLE_MONTH,2025-01-01,2025-10-31,2025-11-18 17:43:44.155968 UTC
WI,2025-01-01,45.060001373291016,6332886,26197,SINGLE_MONTH,2025-01-01,2025-10-31,2025-11-18 17:43:44.155968 UTC
AZ,2025-01-01,35.049999237060547,5942687,26172,SINGLE_MONTH,2025-01-01,2025-10-31,2025-11-18 17:43:44.155968 UTC
IL,2025-01-01,35.830001831054688,5408574,24952,SINGLE_MONTH,2025-01-01,2025-10-31,2025-11-18 17:43:44.155968 UTC
NV,2025-01-01,25.159999847412109,5172618,20558,SINGLE_MONTH,2025-01-01,2025-10-31,2025-11-18 17:43:44.155968 UTC
GA,2025-01-01,34.299999237060547,4988561,21543,SINGLE_MONTH,2025-01-01,2025-10-31,2025-11-18 17:43:44.155968 UTC
VA,2025-01-01,35.810001373291016,4917960,15276,SINGLE_MONTH,2025-01-01,2025-10-31,2025-11-18 17:43:44.155968 UTC
TN,2025-01-01,43.650001525878906,4796035,21519,SINGLE_MONTH,2025-01-01,2025-10-31,2025-11-18 17:43:44.155968 UTC
WA,2025-01-01,38.319999694824219,4699000,20923,SINGLE_MONTH,2025-01-01,2025-10-31,2025-11-18 17:43:44.155968 UTC
HI,2025-01-01,31.290000915527344,4634152,10659,SINGLE_MONTH,2025-01-01,2025-10-31,2025-11-18 17:43:44.155968 UTC
MO,2025-01-01,55.979999542236328,4548311,19767,SINGLE_MONTH,2025-01-01,2025-10-31,2025-11-18 17:43:44.155968 UTC
CO,2025-01-01,40.2599983215332,4490224,21672,SINGLE_MONTH,2025-01-01,2025-10-31,2025-11-18 17:43:44.155968 UTC
