geography_level,month_date,breakfast_lunch_cost,dinner_cost,median_meal_cost,transaction_count,unique_visitors,data_quality_flag,period_start,period_end,calculation_timestamp
US,2022-01-01,18.319999694824219,35.090000152587891,25.639999389648438,1860974,700636,SINGLE_MONTH,2022-01-01,2022-12-31,2025-12-01 03:37:45.300038 UTC
US,2022-02-01,18.3799991607666,35.900001525878906,25.930000305175781,2071712,767925,SINGLE_MONTH,2022-01-01,2022-12-31,2025-12-01 03:37:45.300038 UTC
US,2022-03-01,18.409999847412109,36.180000305175781,26.030000686645508,2601039,913420,SINGLE_MONTH,2022-01-01,2022-12-31,2025-12-01 03:37:45.300038 UTC
US,2022-04-01,18.360000610351562,36.080001831054688,25.950000762939453,2528250,915602,SINGLE_MONTH,2022-01-01,2022-12-31,2025-12-01 03:37:45.300038 UTC
US,2022-05-01,19.1299991607666,37.180000305175781,26.899999618530273,2500930,930163,SINGLE_MONTH,2022-01-01,2022-12-31,2025-12-01 03:37:45.300038 UTC
US,2022-06-01,19.8799991607666,38.700000762939453,28.0,2549962,951516,SINGLE_MONTH,2022-01-01,2022-12-31,2025-12-01 03:37:45.300038 UTC
US,2022-07-01,20.549999237060547,40.25,28.989999771118164,2794720,1041507,SINGLE_MONTH,2022-01-01,2022-12-31,2025-12-01 03:37:45.300038 UTC
US,2022-08-01,19.350000381469727,37.860000610351562,27.290000915527344,2511354,945577,SINGLE_MONTH,2022-01-01,2022-12-31,2025-12-01 03:37:45.300038 UTC
US,2022-09-01,18.569999694824219,36.2400016784668,26.139999389648438,2385939,900568,SINGLE_MONTH,2022-01-01,2022-12-31,2025-12-01 03:37:45.300038 UTC
US,2022-10-01,18.840000152587891,36.689998626708984,26.489999771118164,2499133,930763,SINGLE_MONTH,2022-01-01,2022-12-31,2025-12-01 03:37:45.300038 UTC
US,2022-11-01,18.809999465942383,36.799999237060547,26.5,1987443,786058,SINGLE_MONTH,2022-01-01,2022-12-31,2025-12-01 03:37:45.300038 UTC
US,2022-12-01,19.920000076293945,39.060001373291016,28.110000610351562,1891321,764403,SINGLE_MONTH,2022-01-01,2022-12-31,2025-12-01 03:37:45.300038 UTC
