geography_level,month_date,breakfast_lunch_cost,dinner_cost,median_meal_cost,transaction_count,unique_visitors,data_quality_flag,period_start,period_end,calculation_timestamp
US,2023-01-01,18.950000762939453,36.919998168945312,26.610000610351562,1894826,728349,SINGLE_MONTH,2023-01-01,2023-12-31,2025-12-01 03:36:55.972127 UTC
US,2023-02-01,19.020000457763672,37.369998931884766,26.790000915527344,1975532,755394,SINGLE_MONTH,2023-01-01,2023-12-31,2025-12-01 03:36:55.972127 UTC
US,2023-03-01,19.290000915527344,37.799999237060547,27.100000381469727,2401995,873265,SINGLE_MONTH,2023-01-01,2023-12-31,2025-12-01 03:36:55.972127 UTC
US,2023-04-01,19.059999465942383,37.529998779296875,26.889999389648438,2322946,867263,SINGLE_MONTH,2023-01-01,2023-12-31,2025-12-01 03:36:55.972127 UTC
US,2023-05-01,19.670000076293945,38.459999084472656,27.670000076293945,2267411,867189,SINGLE_MONTH,2023-01-01,2023-12-31,2025-12-01 03:36:55.972127 UTC
US,2023-06-01,20.469999313354492,40.020000457763672,28.8700008392334,2360007,902915,SINGLE_MONTH,2023-01-01,2023-12-31,2025-12-01 03:36:55.972127 UTC
US,2023-07-01,21.190000534057617,41.779998779296875,30.010000228881836,2623616,996586,SINGLE_MONTH,2023-01-01,2023-12-31,2025-12-01 03:36:55.972127 UTC
US,2023-08-01,19.889999389648438,39.0,28.020000457763672,2331727,903545,SINGLE_MONTH,2023-01-01,2023-12-31,2025-12-01 03:36:55.972127 UTC
US,2023-09-01,19.229999542236328,37.610000610351562,27.010000228881836,2408412,937618,SINGLE_MONTH,2023-01-01,2023-12-31,2025-12-01 03:36:55.972127 UTC
US,2023-10-01,19.299999237060547,37.849998474121094,27.1299991607666,2392727,919081,SINGLE_MONTH,2023-01-01,2023-12-31,2025-12-01 03:36:55.972127 UTC
US,2023-11-01,19.290000915527344,38.069999694824219,27.190000534057617,1979006,797254,SINGLE_MONTH,2023-01-01,2023-12-31,2025-12-01 03:36:55.972127 UTC
US,2023-12-01,20.3700008392334,40.409999847412109,28.899999618530273,1921001,793264,SINGLE_MONTH,2023-01-01,2023-12-31,2025-12-01 03:36:55.972127 UTC
