geography_level,month_date,retail_cost,transaction_count_final,unique_visitors,txn_before_cap,txn_after_cap,txn_capped,pct_txn_capped,unique_cardholders_total,cardholders_affected_by_cap,pct_cardholders_affected_any_day,avg_txn_per_cardholder_per_day,frequent_high_volume_shoppers,pct_frequent_high_volume_shoppers,txn_before_outlier_removal,txn_removed_as_outliers,pct_txn_removed_as_outliers,data_quality_flag,period_start,period_end,max_daily_cap,calculation_timestamp
US,2023-01-01,34.090000152587891,2962494,1201856,3196931,3185202,11729,0.37,1253280,1423,0.11,1.54,149,0.01,3185202,222708,6.99,SINGLE_MONTH,2023-01-01,2023-12-31,10,2025-12-01 03:55:06.626837 UTC
US,2023-02-01,35.409999847412109,2735574,1174331,2950999,2940820,10179,0.34,1225482,1154,0.09,1.56,126,0.01,2940820,205246,6.98,SINGLE_MONTH,2023-01-01,2023-12-31,10,2025-12-01 03:55:06.626837 UTC
US,2023-03-01,35.889999389648438,3232386,1314431,3486466,3475308,11158,0.32,1370206,1226,0.09,1.54,188,0.01,3475308,242922,6.99,SINGLE_MONTH,2023-01-01,2023-12-31,10,2025-12-01 03:55:06.626837 UTC
US,2023-04-01,35.069999694824219,3077523,1265231,3318834,3309081,9753,0.29,1320695,1220,0.09,1.52,170,0.01,3309081,231558,7.0,SINGLE_MONTH,2023-01-01,2023-12-31,10,2025-12-01 03:55:06.626837 UTC
US,2023-05-01,34.770000457763672,3124195,1281401,3368290,3359109,9181,0.27,1337956,1179,0.09,1.5,145,0.01,3359109,234914,6.99,SINGLE_MONTH,2023-01-01,2023-12-31,10,2025-12-01 03:55:06.626837 UTC
US,2023-06-01,34.270000457763672,3210338,1293905,3461151,3451221,9930,0.29,1351434,1208,0.09,1.54,155,0.01,3451221,240883,6.98,SINGLE_MONTH,2023-01-01,2023-12-31,10,2025-12-01 03:55:06.626837 UTC
US,2023-07-01,34.580001831054688,3453199,1385422,3722653,3712320,10333,0.28,1446134,1232,0.09,1.53,153,0.01,3712320,259121,6.98,SINGLE_MONTH,2023-01-01,2023-12-31,10,2025-12-01 03:55:06.626837 UTC
US,2023-08-01,35.029998779296875,3379197,1352727,3644800,3632979,11821,0.32,1410859,1394,0.1,1.55,222,0.02,3632979,253782,6.99,SINGLE_MONTH,2023-01-01,2023-12-31,10,2025-12-01 03:55:06.626837 UTC
US,2023-09-01,34.419998168945312,3540501,1444600,3819062,3807790,11272,0.3,1509452,1404,0.09,1.52,199,0.01,3807790,267289,7.02,SINGLE_MONTH,2023-01-01,2023-12-31,10,2025-12-01 03:55:06.626837 UTC
US,2023-10-01,34.159999847412109,3593171,1452086,3873855,3862895,10960,0.28,1515035,1392,0.09,1.51,186,0.01,3862895,269724,6.98,SINGLE_MONTH,2023-01-01,2023-12-31,10,2025-12-01 03:55:06.626837 UTC
US,2023-11-01,36.720001220703125,3790309,1495654,4089142,4074930,14212,0.35,1559040,1644,0.11,1.56,167,0.01,4074930,284621,6.98,SINGLE_MONTH,2023-01-01,2023-12-31,10,2025-12-01 03:55:06.626837 UTC
US,2023-12-01,36.380001068115234,4015758,1492355,4339231,4317360,21871,0.5,1561957,1869,0.12,2.1,192,0.01,4317360,301602,6.99,SINGLE_MONTH,2023-01-01,2023-12-31,10,2025-12-01 03:55:06.626837 UTC
