merch_state,month_date,attraction_cost,transaction_count,unique_visitors,data_quality_flag,period_start,period_end,calculation_timestamp
CA,2025-01-01,20.760000228881836,13681691,26700,SINGLE_MONTH,2025-01-01,2025-10-31,2025-11-18 17:30:36.202620 UTC
NY,2025-01-01,16.3799991607666,6134741,13983,SINGLE_MONTH,2025-01-01,2025-10-31,2025-11-18 17:30:36.202620 UTC
TX,2025-01-01,21.389999389648438,4353564,25420,SINGLE_MONTH,2025-01-01,2025-10-31,2025-11-18 17:30:36.202620 UTC
GA,2025-01-01,18.920000076293945,4266396,10678,SINGLE_MONTH,2025-01-01,2025-10-31,2025-11-18 17:30:36.202620 UTC
TN,2025-01-01,26.040000915527344,3787076,15328,SINGLE_MONTH,2025-01-01,2025-10-31,2025-11-18 17:30:36.202620 UTC
FL,2025-01-01,35.110000610351562,3577513,14187,SINGLE_MONTH,2025-01-01,2025-10-31,2025-11-18 17:30:36.202620 UTC
PA,2025-01-01,20.149999618530273,1357876,4040,SINGLE_MONTH,2025-01-01,2025-10-31,2025-11-18 17:30:36.202620 UTC
NC,2025-01-01,45.459999084472656,1306420,7373,SINGLE_MONTH,2025-01-01,2025-10-31,2025-11-18 17:30:36.202620 UTC
CO,2025-01-01,28.260000228881836,920373,5070,SINGLE_MONTH,2025-01-01,2025-10-31,2025-11-18 17:30:36.202620 UTC
NV,2025-01-01,27.940000534057617,810495,5090,SINGLE_MONTH,2025-01-01,2025-10-31,2025-11-18 17:30:36.202620 UTC
WI,2025-01-01,24.989999771118164,739444,3646,SINGLE_MONTH,2025-01-01,2025-10-31,2025-11-18 17:30:36.202620 UTC
AZ,2025-01-01,28.260000228881836,694694,3979,SINGLE_MONTH,2025-01-01,2025-10-31,2025-11-18 17:30:36.202620 UTC
VA,2025-01-01,25.25,658755,2376,SINGLE_MONTH,2025-01-01,2025-10-31,2025-11-18 17:30:36.202620 UTC
IL,2025-01-01,18.180000305175781,635701,2789,SINGLE_MONTH,2025-01-01,2025-10-31,2025-11-18 17:30:36.202620 UTC
NJ,2025-01-01,17.680000305175781,608640,1259,ROLLING_3MO,2025-01-01,2025-10-31,2025-11-18 17:30:36.202620 UTC
DE,2025-01-01,33.810001373291016,605212,3130,SINGLE_MONTH,2025-01-01,2025-10-31,2025-11-18 17:30:36.202620 UTC
NH,2025-01-01,7.869999885559082,527191,3480,SINGLE_MONTH,2025-01-01,2025-10-31,2025-11-18 17:30:36.202620 UTC
MO,2025-01-01,34.0099983215332,511038,2502,SINGLE_MONTH,2025-01-01,2025-10-31,2025-11-18 17:30:36.202620 UTC
NM,2025-01-01,34.189998626708984,486343,2084,SINGLE_MONTH,2025-01-01,2025-10-31,2025-11-18 17:30:36.202620 UTC
UT,2025-01-01,28.280000686645508,447036,2871,SINGLE_MONTH,2025-01-01,2025-10-31,2025-11-18 17:30:36.202620 UTC
MN,2025-01-01,32.0,442768,2227,SINGLE_MONTH,2025-01-01,2025-10-31,2025-11-18 17:30:36.202620 UTC
OH,2025-01-01,17.270000457763672,441338,3535,SINGLE_MONTH,2025-01-01,2025-10-31,2025-11-18 17:30:36.202620 UTC
AK,2025-01-01,40.560001373291016,435945,1596,ROLLING_3MO,2025-01-01,2025-10-31,2025-11-18 17:30:36.202620 UTC
WA,2025-01-01,35.220001220703125,377149,2010,SINGLE_MONTH,2025-01-01,2025-10-31,2025-11-18 17:30:36.202620 UTC
WY,2025-01-01,21.260000228881836,369830,653,ROLLING_3MO,2025-01-01,2025-10-31,2025-11-18 17:30:36.202620 UTC
OK,2025-01-01,26.25,341196,1744,ROLLING_3MO,2025-01-01,2025-10-31,2025-11-18 17:30:36.202620 UTC
HI,2025-01-01,33.330001831054688,333002,1460,ROLLING_3MO,2025-01-01,2025-10-31,2025-11-18 17:30:36.202620 UTC
MI,2025-01-01,25.270000457763672,320132,2040,SINGLE_MONTH,2025-01-01,2025-10-31,2025-11-18 17:30:36.202620 UTC
KY,2025-01-01,34.380001068115234,313939,1632,ROLLING_3MO,2025-01-01,2025-10-31,2025-11-18 17:30:36.202620 UTC
MA,2025-01-01,29.590000152587891,277525,1810,ROLLING_3MO,2025-01-01,2025-10-31,2025-11-18 17:30:36.202620 UTC
MS,2025-01-01,20.319999694824219,277282,918,ROLLING_3MO,2025-01-01,2025-10-31,2025-11-18 17:30:36.202620 UTC
KS,2025-01-01,24.299999237060547,238865,1112,ROLLING_3MO,2025-01-01,2025-10-31,2025-11-18 17:30:36.202620 UTC
LA,2025-01-01,24.569999694824219,238711,1220,ROLLING_3MO,2025-01-01,2025-10-31,2025-11-18 17:30:36.202620 UTC
ID,2025-01-01,35.369998931884766,229168,1053,ROLLING_3MO,2025-01-01,2025-10-31,2025-11-18 17:30:36.202620 UTC
WV,2025-01-01,13.640000343322754,220393,1204,ROLLING_3MO,2025-01-01,2025-10-31,2025-11-18 17:30:36.202620 UTC
IA,2025-01-01,34.099998474121094,218783,911,ROLLING_3MO,2025-01-01,2025-10-31,2025-11-18 17:30:36.202620 UTC
