month_date,merch_state,accommodation_cost,attraction_cost,breakfast_lunch_cost,dinner_cost,median_meal_cost,retail_cost,cost_per_trip
2025-01-01,NV,203.52000427246097,27.940000534057617,24.36000061035156,49.08000183105469,34.459999084472656,25.15999984741211,708.840015411377
2025-02-01,NV,196.67999267578125,30.030000686645508,24.09000015258789,47.66999816894531,33.86000061035156,25.90999984741211,696.9399833679199
2025-03-01,NV,199.0800018310547,31.600000381469727,24.15999984741211,48.060001373291016,33.75,26.469999313354492,707.0600051879883
2025-04-01,NV,211.3300018310547,29.59000015258789,23.959999084472656,47.31999969482422,33.36000061035156,25.649999618530273,723.6199989318848
2025-05-01,NV,202.7100067138672,29.559999465942383,23.920000076293945,46.540000915527344,33.150001525878906,25.940000534057617,705.1800155639648
2025-06-01,NV,191.97000122070312,30.190000534057617,24.18000030517578,47.400001525878906,33.650001525878906,27.13999938964844,690.1200065612793
2025-07-01,NV,200.2400054931641,28.579999923706055,24.600000381469727,48.939998626708984,34.33000183105469,26.450000762939453,706.820011138916
2025-08-01,NV,198.52000427246097,28.65999984741211,24.6200008392334,48.369998931884766,34.25,25.88999938964844,701.3600082397461
2025-09-01,NV,204.3699951171875,28.829999923706055,24.65999984741211,47.90999984741211,34.09000015258789,25.34000015258789,711.5399894714355
2025-10-01,NV,204.3800048828125,37.06999969482422,24.81999969482422,48.810001373291016,34.68000030517578,24.399999618530273,728.6000099182129
2024-01-01,NY,211.07000732421875,18.489999771118164,16.510000228881836,34.529998779296875,23.6200008392334,37.04999923706055,668.320011138916
2024-02-01,NY,213.97000122070312,18.270000457763672,16.34000015258789,34.47999954223633,23.489999771118164,38.0,674.8000030517578
2024-03-01,NY,235.72000122070312,19.6299991607666,16.170000076293945,33.880001068115234,22.780000686645508,38.06999969482422,719.2800025939941
2024-04-01,NY,240.61000061035156,20.989999771118164,16.1299991607666,34.02000045776367,23.31999969482422,38.119998931884766,731.9999961853027
2024-05-01,NY,245.5099945068359,20.81999969482422,16.829999923706055,35.279998779296875,24.190000534057617,38.45000076293945,747.4399871826172
2024-06-01,NY,243.1499938964844,21.170000076293945,17.950000762939453,37.09000015258789,25.729999542236328,37.290000915527344,749.1999931335449
2024-07-01,NY,240.32000732421875,19.690000534057617,18.0,37.619998931884766,25.760000228881836,36.869998931884766,741.0000114440918
2024-08-01,NY,246.33999633789065,20.59000015258789,18.15999984741211,37.41999816894531,25.920000076293945,38.06999969482422,757.4799880981445
2024-09-01,NY,248.44000244140625,18.760000228881836,16.93000030517578,34.93000030517578,24.059999465942383,37.20000076293945,746.3800086975098
