geography_level,month_date,retail_cost,transaction_count_final,unique_visitors,txn_before_cap,txn_after_cap,txn_capped,pct_txn_capped,unique_cardholders_total,cardholders_affected_by_cap,pct_cardholders_affected_any_day,avg_txn_per_cardholder_per_day,frequent_high_volume_shoppers,pct_frequent_high_volume_shoppers,txn_before_outlier_removal,txn_removed_as_outliers,pct_txn_removed_as_outliers,data_quality_flag,period_start,period_end,max_daily_cap,calculation_timestamp
US,2025-01-01,35.419998168945312,2330259,990106,2510377,2506106,4271,0.17,1037182,628,0.06,1.42,77,0.01,2506106,175847,7.02,SINGLE_MONTH,2025-01-01,2025-10-31,10,2025-12-01 03:52:39.703838 UTC
US,2025-02-01,36.049999237060547,2034414,924488,2190391,2186663,3728,0.17,966936,540,0.06,1.43,90,0.01,2186663,152249,6.96,SINGLE_MONTH,2025-01-01,2025-10-31,10,2025-12-01 03:52:39.703838 UTC
US,2025-03-01,36.819999694824219,2311599,1016296,2489098,2484623,4475,0.18,1061066,547,0.05,1.45,92,0.01,2484623,173024,6.96,SINGLE_MONTH,2025-01-01,2025-10-31,10,2025-12-01 03:52:39.703838 UTC
US,2025-04-01,37.119998931884766,1941181,890486,2090563,2086770,3793,0.18,929874,454,0.05,1.44,72,0.01,2086770,145589,6.98,SINGLE_MONTH,2025-01-01,2025-10-31,10,2025-12-01 03:52:39.703838 UTC
US,2025-05-01,38.220001220703125,1910099,872001,2058025,2054023,4002,0.19,911994,443,0.05,1.45,85,0.01,2054023,143924,7.01,SINGLE_MONTH,2025-01-01,2025-10-31,10,2025-12-01 03:52:39.703838 UTC
US,2025-06-01,37.549999237060547,2361662,1085915,2544252,2539548,4704,0.18,1136073,599,0.05,1.53,83,0.01,2539548,177886,7.0,SINGLE_MONTH,2025-01-01,2025-10-31,10,2025-12-01 03:52:39.703838 UTC
US,2025-07-01,38.189998626708984,2762418,1221936,2974403,2970289,4114,0.14,1277255,668,0.05,1.5,100,0.01,2970289,207871,7.0,SINGLE_MONTH,2025-01-01,2025-10-31,10,2025-12-01 03:52:39.703838 UTC
US,2025-08-01,38.770000457763672,2744223,1225505,2956167,2950951,5216,0.18,1279711,701,0.05,1.51,109,0.01,2950951,206728,7.01,SINGLE_MONTH,2025-01-01,2025-10-31,10,2025-12-01 03:52:39.703838 UTC
US,2025-09-01,37.75,2398063,1117122,2581791,2576870,4921,0.19,1166223,608,0.05,1.46,82,0.01,2576870,178807,6.94,SINGLE_MONTH,2025-01-01,2025-10-31,10,2025-12-01 03:52:39.703838 UTC
US,2025-10-01,37.909999847412109,2475811,1144177,2667416,2662000,5416,0.2,1195785,657,0.05,1.47,97,0.01,2662000,186189,6.99,SINGLE_MONTH,2025-01-01,2025-10-31,10,2025-12-01 03:52:39.703838 UTC
