geography_level,month_date,accommodation_cost,transaction_count,unique_visitors,min_cost,max_cost,q25,q75,data_quality_flag,period_start,period_end,calculation_timestamp
US,2023-01-01,182.16999816894531,304562,157655,61.200000762939453,1669.050048828125,114.48000335693359,329.82000732421875,SINGLE_MONTH,2023-01-01,2023-12-31,2025-12-01 03:15:29.154672 UTC
US,2023-02-01,190.41999816894531,315401,167421,61.630001068115234,1724.4100341796875,117.91999816894531,344.26998901367188,SINGLE_MONTH,2023-01-01,2023-12-31,2025-12-01 03:15:29.154672 UTC
US,2023-03-01,196.46000671386719,388749,202664,61.680000305175781,1709.97998046875,120.98999786376953,356.73001098632812,SINGLE_MONTH,2023-01-01,2023-12-31,2025-12-01 03:15:29.154672 UTC
US,2023-04-01,194.71000671386719,360978,191877,61.380001068115234,1580.8900146484375,120.76000213623047,351.8699951171875,SINGLE_MONTH,2023-01-01,2023-12-31,2025-12-01 03:15:29.154672 UTC
US,2023-05-01,201.08000183105469,371547,195627,61.7599983215332,1659.1600341796875,123.61000061035156,362.80999755859375,SINGLE_MONTH,2023-01-01,2023-12-31,2025-12-01 03:15:29.154672 UTC
US,2023-06-01,203.71000671386719,378576,202942,61.709999084472656,1642.8699951171875,124.83000183105469,371.79000854492188,SINGLE_MONTH,2023-01-01,2023-12-31,2025-12-01 03:15:29.154672 UTC
US,2023-07-01,204.28999328613281,404814,215891,61.270000457763672,1605.7099609375,124.72000122070312,372.94000244140625,SINGLE_MONTH,2023-01-01,2023-12-31,2025-12-01 03:15:29.154672 UTC
US,2023-08-01,199.27999877929688,366839,191309,61.819999694824219,1509.469970703125,123.80000305175781,356.510009765625,SINGLE_MONTH,2023-01-01,2023-12-31,2025-12-01 03:15:29.154672 UTC
US,2023-09-01,196.89999389648438,380997,202978,61.419998168945312,1495.800048828125,121.44000244140625,347.91000366210938,SINGLE_MONTH,2023-01-01,2023-12-31,2025-12-01 03:15:29.154672 UTC
US,2023-10-01,196.99000549316406,381894,197869,61.400001525878906,1556.8900146484375,120.69999694824219,354.1199951171875,SINGLE_MONTH,2023-01-01,2023-12-31,2025-12-01 03:15:29.154672 UTC
US,2023-11-01,184.6199951171875,316575,166591,60.130001068115234,1558.969970703125,115.02999877929688,332.739990234375,SINGLE_MONTH,2023-01-01,2023-12-31,2025-12-01 03:15:29.154672 UTC
US,2023-12-01,173.85000610351562,286629,155509,58.560001373291016,1505.6600341796875,109.05000305175781,305.16000366210938,SINGLE_MONTH,2023-01-01,2023-12-31,2025-12-01 03:15:29.154672 UTC
