merch_state,month_date,accommodation_cost,transaction_count,unique_visitors,min_cost,max_cost,q25,q75,data_quality_flag,period_start,period_end,calculation_timestamp
FL,2024-01-01,222.83000183105469,3768824,14863,60.669998168945312,3682.14990234375,124.87999725341797,485.6199951171875,SINGLE_MONTH,2024-01-01,2024-12-31,2025-11-18 17:28:50.264976 UTC
TX,2024-01-01,185.60000610351562,3282305,12875,56.810001373291016,1306.9000244140625,116.58999633789062,360.57998657226562,SINGLE_MONTH,2024-01-01,2024-12-31,2025-11-18 17:28:50.264976 UTC
CA,2024-01-01,213.92999267578125,3168776,13136,61.139999389648438,1930.02001953125,118.15000152587891,407.85000610351562,SINGLE_MONTH,2024-01-01,2024-12-31,2025-11-18 17:28:50.264976 UTC
NV,2024-01-01,210.80999755859375,3029201,9922,62.229999542236328,1644.4300537109375,122.44999694824219,390.55999755859375,SINGLE_MONTH,2024-01-01,2024-12-31,2025-11-18 17:28:50.264976 UTC
TN,2024-01-01,183.1199951171875,1329522,5185,56.389999389648438,1451.5,119.13999938964844,325.82000732421875,SINGLE_MONTH,2024-01-01,2024-12-31,2025-11-18 17:28:50.264976 UTC
GA,2024-01-01,190.49000549316406,1281177,5272,60.049999237060547,1303.0899658203125,121.94000244140625,341.739990234375,SINGLE_MONTH,2024-01-01,2024-12-31,2025-11-18 17:28:50.264976 UTC
LA,2024-01-01,189.88999938964844,1280480,4005,57.0,1310.0400390625,116.73000335693359,381.51998901367188,SINGLE_MONTH,2024-01-01,2024-12-31,2025-11-18 17:28:50.264976 UTC
CO,2024-01-01,182.66999816894531,1170409,5030,56.560001373291016,1910.280029296875,113.51000213623047,336.35000610351562,SINGLE_MONTH,2024-01-01,2024-12-31,2025-11-18 17:28:50.264976 UTC
IL,2024-01-01,183.47999572753906,1154134,4252,56.049999237060547,1170.9200439453125,117.41999816894531,313.14999389648438,SINGLE_MONTH,2024-01-01,2024-12-31,2025-11-18 17:28:50.264976 UTC
VA,2024-01-01,178.02999877929688,1144675,3685,59.119998931884766,1110.5400390625,116.56999969482422,320.510009765625,SINGLE_MONTH,2024-01-01,2024-12-31,2025-11-18 17:28:50.264976 UTC
WI,2024-01-01,180.75999450683594,1112276,4236,64.010002136230469,970.80999755859375,119.93000030517578,290.98001098632812,SINGLE_MONTH,2024-01-01,2024-12-31,2025-11-18 17:28:50.264976 UTC
AZ,2024-01-01,210.27000427246094,1061058,4419,57.060001373291016,2118.949951171875,115.12000274658203,456.97000122070312,SINGLE_MONTH,2024-01-01,2024-12-31,2025-11-18 17:28:50.264976 UTC
PA,2024-01-01,187.3699951171875,1002651,3883,60.770000457763672,1011.8200073242188,124.98999786376953,320.69000244140625,SINGLE_MONTH,2024-01-01,2024-12-31,2025-11-18 17:28:50.264976 UTC
OK,2024-01-01,150.11000061035156,929009,3380,53.520000457763672,855.58001708984375,104.95999908447266,241.58000183105469,SINGLE_MONTH,2024-01-01,2024-12-31,2025-11-18 17:28:50.264976 UTC
MO,2024-01-01,171.57000732421875,912133,3562,60.2400016784668,1098.219970703125,116.83000183105469,291.8599853515625,SINGLE_MONTH,2024-01-01,2024-12-31,2025-11-18 17:28:50.264976 UTC
OH,2024-01-01,190.72000122070312,890413,3385,62.479999542236328,983.0,128.75999450683594,316.14999389648438,SINGLE_MONTH,2024-01-01,2024-12-31,2025-11-18 17:28:50.264976 UTC
NC,2024-01-01,188.71000671386719,889923,3903,59.119998931884766,2087.39990234375,118.26000213623047,352.260009765625,SINGLE_MONTH,2024-01-01,2024-12-31,2025-11-18 17:28:50.264976 UTC
IN,2024-01-01,189.89999389648438,857274,2930,54.4900016784668,1178.280029296875,126.36000061035156,363.8599853515625,SINGLE_MONTH,2024-01-01,2024-12-31,2025-11-18 17:28:50.264976 UTC
KS,2024-01-01,156.86000061035156,846988,2958,65.129997253417969,837.82000732421875,116.59999847412109,254.44000244140625,SINGLE_MONTH,2024-01-01,2024-12-31,2025-11-18 17:28:50.264976 UTC
NM,2024-01-01,157.60000610351562,785143,3031,55.770000457763672,998.6199951171875,104.47000122070312,235.1300048828125,SINGLE_MONTH,2024-01-01,2024-12-31,2025-11-18 17:28:50.264976 UTC
MS,2024-01-01,136.16000366210938,777269,2507,54.389999389648438,767.97998046875,95.360000610351562,213.85000610351562,SINGLE_MONTH,2024-01-01,2024-12-31,2025-11-18 17:28:50.264976 UTC
AK,2024-01-01,170.30999755859375,749160,2281,53.439998626708984,1184.9599609375,104.33999633789062,277.97000122070312,SINGLE_MONTH,2024-01-01,2024-12-31,2025-11-18 17:28:50.264976 UTC
MN,2024-01-01,189.13999938964844,737137,3040,59.900001525878906,1144.81005859375,125.58999633789062,331.95999145507812,SINGLE_MONTH,2024-01-01,2024-12-31,2025-11-18 17:28:50.264976 UTC
